key,value
Recording Name,/Users/VR_Research_1/Documents/jeremy/will_it_fall/2019_04_21
Start Date,21.04.2019
Start Time,22:59:48
Start Time (System),1555912788.9776015
Start Time (Synced),72.285629
Recording UUID,2de45de4-5579-49c4-b413-e2d498f05670
Duration Time,00:06:11
World Camera Frames,0
World Camera Resolution,1280x720
Capture Software Version,1.11.4
Data Format Version,1.11.4
System Info,"User: VR_Research_1, Platform: Windows, Machine: LAPTOP-0JK1JFDS, Release: 10, Version: 10.0.17134"
